Time,ax,ay,az
42:00.0,-0.918,0.293,0.23
42:00.0,-0.898,0.297,0.238
42:00.0,-0.891,0.305,0.234
42:00.0,-0.887,0.305,0.223
42:00.0,-0.883,0.305,0.215
42:00.0,-0.887,0.305,0.211
42:00.1,-0.898,0.297,0.207
42:00.1,-0.902,0.301,0.207
42:00.1,-0.906,0.289,0.207
42:00.1,-0.906,0.277,0.203
42:00.1,-0.91,0.277,0.203
42:00.1,-0.914,0.266,0.199
42:00.1,-0.918,0.258,0.188
42:00.1,-0.93,0.25,0.191
42:00.1,-0.934,0.246,0.199
42:00.1,-0.93,0.242,0.203
42:00.2,-0.926,0.246,0.211
42:00.2,-0.922,0.25,0.215
42:00.2,-0.926,0.258,0.219
42:00.2,-0.93,0.266,0.215
42:00.2,-0.93,0.281,0.215
42:00.2,-0.926,0.297,0.211
42:00.2,-0.926,0.305,0.211
42:00.2,-0.922,0.313,0.211
42:00.2,-0.914,0.32,0.211
42:00.2,-0.914,0.324,0.211
42:00.3,-0.914,0.324,0.211
42:00.3,-0.91,0.328,0.211
42:00.3,-0.902,0.328,0.211
42:00.3,-0.902,0.324,0.207
42:00.3,-0.902,0.324,0.199
42:00.3,-0.898,0.324,0.195
42:00.3,-0.895,0.324,0.191
42:00.3,-0.895,0.316,0.195
42:00.3,-0.902,0.313,0.191
42:00.3,-0.906,0.305,0.199
42:00.4,-0.906,0.301,0.195
42:00.4,-0.91,0.297,0.199
42:00.4,-0.91,0.301,0.191
42:00.4,-0.91,0.297,0.195
42:00.4,-0.91,0.297,0.203
42:00.4,-0.914,0.293,0.203
42:00.4,-0.918,0.293,0.207
42:00.4,-0.918,0.293,0.207
42:00.4,-0.922,0.297,0.207
42:00.4,-0.922,0.297,0.211
42:00.5,-0.922,0.293,0.199
42:00.5,-0.926,0.293,0.195
42:00.5,-0.926,0.289,0.199
42:00.5,-0.926,0.289,0.191
42:00.5,-0.926,0.289,0.191
42:00.5,-0.922,0.289,0.203
42:00.5,-0.918,0.289,0.199
42:00.5,-0.918,0.285,0.199
42:00.5,-0.91,0.285,0.203
42:00.5,-0.906,0.289,0.207
42:00.6,-0.902,0.289,0.207
42:00.6,-0.906,0.301,0.203
42:00.6,-0.91,0.309,0.199
42:00.6,-0.91,0.305,0.195
42:00.6,-0.91,0.313,0.195
42:00.6,-0.918,0.313,0.191
42:00.6,-0.93,0.305,0.195
42:00.6,-0.93,0.301,0.199
42:00.6,-0.922,0.297,0.195
42:00.7,-0.918,0.289,0.191
42:00.7,-0.914,0.277,0.195
42:00.7,-0.91,0.27,0.199
42:00.7,-0.91,0.273,0.199
42:00.7,-0.914,0.273,0.199
42:00.7,-0.914,0.281,0.207
42:00.7,-0.91,0.285,0.207
42:00.7,-0.91,0.293,0.207
42:00.7,-0.906,0.297,0.211
42:00.7,-0.91,0.301,0.207
42:00.7,-0.91,0.301,0.207
42:00.8,-0.906,0.301,0.207
42:00.8,-0.906,0.305,0.211
42:00.8,-0.906,0.313,0.203
42:00.8,-0.91,0.309,0.195
42:00.8,-0.91,0.301,0.195
42:00.8,-0.914,0.305,0.191
42:00.8,-0.914,0.305,0.191
42:00.8,-0.922,0.301,0.188
42:00.8,-0.922,0.297,0.199
42:00.8,-0.922,0.293,0.203
42:00.9,-0.918,0.293,0.199
42:00.9,-0.914,0.285,0.207
42:00.9,-0.91,0.289,0.207
42:00.9,-0.91,0.289,0.211
42:00.9,-0.91,0.285,0.207
42:00.9,-0.91,0.289,0.207
42:00.9,-0.914,0.289,0.207
42:00.9,-0.918,0.297,0.211
42:00.9,-0.918,0.301,0.207
42:00.9,-0.914,0.309,0.203
42:01.0,-0.906,0.313,0.195
42:01.0,-0.906,0.316,0.195
42:01.0,-0.906,0.32,0.195
42:01.0,-0.906,0.316,0.199
42:01.0,-0.918,0.316,0.191
42:01.0,-0.914,0.309,0.195
42:01.0,-0.91,0.313,0.191
42:01.0,-0.91,0.309,0.199
42:01.0,-0.91,0.305,0.203
42:01.0,-0.906,0.309,0.207
42:01.1,-0.906,0.313,0.207
42:01.1,-0.906,0.316,0.207
42:01.1,-0.906,0.313,0.207
42:01.1,-0.91,0.313,0.203
42:01.1,-0.91,0.32,0.199
42:01.1,-0.906,0.32,0.199
42:01.1,-0.906,0.316,0.195
42:01.1,-0.906,0.313,0.191
42:01.1,-0.906,0.313,0.199
42:01.1,-0.906,0.305,0.195
42:01.2,-0.91,0.297,0.195
42:01.2,-0.914,0.297,0.199
42:01.2,-0.914,0.293,0.203
42:01.2,-0.914,0.289,0.207
42:01.2,-0.91,0.289,0.219
42:01.2,-0.91,0.285,0.223
42:01.2,-0.914,0.281,0.223
42:01.2,-0.922,0.281,0.23
42:01.2,-0.914,0.285,0.223
42:01.2,-0.914,0.289,0.219
42:01.3,-0.918,0.309,0.215
42:01.3,-0.918,0.32,0.211
42:01.3,-0.914,0.32,0.203
42:01.3,-0.91,0.328,0.195
42:01.3,-0.91,0.332,0.191
42:01.3,-0.902,0.332,0.195
42:01.3,-0.898,0.328,0.195
42:01.3,-0.898,0.328,0.195
42:01.3,-0.898,0.32,0.203
42:01.3,-0.895,0.313,0.207
42:01.4,-0.891,0.309,0.211
42:01.4,-0.898,0.301,0.211
42:01.4,-0.902,0.297,0.219
42:01.4,-0.902,0.281,0.227
42:01.4,-0.906,0.27,0.223
42:01.4,-0.906,0.262,0.223
42:01.4,-0.926,0.266,0.219
42:01.4,-0.934,0.262,0.23
42:01.4,-0.941,0.242,0.223
42:01.4,-0.93,0.234,0.211
42:01.5,-0.914,0.23,0.207
42:01.5,-0.898,0.234,0.211
42:01.5,-0.887,0.246,0.199
42:01.5,-0.887,0.258,0.195
42:01.5,-0.906,0.258,0.191
42:01.5,-0.91,0.273,0.191
42:01.5,-0.906,0.301,0.172
42:01.5,-0.898,0.328,0.152
42:01.5,-0.898,0.355,0.145
42:01.5,-0.898,0.371,0.137
42:01.6,-0.906,0.383,0.137
42:01.6,-0.91,0.395,0.152
42:01.6,-0.914,0.414,0.141
42:01.6,-0.918,0.43,0.133
42:01.6,-0.922,0.434,0.129
42:01.6,-0.93,0.418,0.125
42:01.6,-0.93,0.402,0.137
42:01.6,-0.93,0.387,0.148
42:01.6,-0.926,0.367,0.164
42:01.6,-0.918,0.344,0.176
42:01.7,-0.918,0.328,0.176
42:01.7,-0.918,0.32,0.172
42:01.7,-0.914,0.309,0.168
